question	answer
怎样安排鸡群产蛋后期的饲养管理？	71. 怎样安排鸡群产蛋后期的饲养管理?蛋鸡经过产蛋高峰后体内营养消耗很多, 体质下降。到产蛋后期鸡的产蛋量逐渐下降, 同时由于体内钙质消耗过大, 蛋壳质量也逐渐下降。此阶段要做好三点: 一是适时调整饲料配方, 降低饲料中蛋白质含量, 以防止鸡体过肥而影响产蛋, 同时降低饲料成本; 二是补钙, 在正常饲料之外另外补加颗粒状蛎壳, 直径从米粒大到黄豆大均可, 每周添加 2 次, 每次每只鸡添加 5 克, 于下午捡蛋后撒在料槽中。三是及时发现并淘汰停产鸡, 以节省饲料。
怎样安排养鸡的日常工作？	每天的日常工作, 应按饲养规程、防疫制度等进行操作和管理, 及时发现和解决生产中的问题, 保证鸡群健康高产。 (1) 观察鸡群 观察鸡群的目的在于掌握鸡群的健康与食欲 状况, 捡出病鸡和死鸡, 检查饲养条件是否合理。观察鸡群最好在清晨或夜间进行。夜间鸡群平静, 有利于检出患呼吸器官疾病的鸡只, 如发现异常应及时分析原因, 采取措施。鸡的粪便可以反映鸡的健康情况, 要认真观察, 然后对症处理, 如巧克力粪便是盲肠消化后的正常排泄物, 绿色下痢可能由消化不良、中毒或鸡新城疫引起, 红色或白色粪便可能由球虫、蛔虫或绦虫病引起。另外, 要经常淘汰病鸡与停产鸡, 以减少饲料浪费, 提高经济效益。 (2) 检蛋 检蛋是正常管理工作中的重要内容之一。及时捡蛋, 能减少鸡蛋相互碰撞造成的破损和粪便造成的污染。捡蛋时要轻拿轻放, 尽量减少破损; 发现产在笼内未及时滚入集蛋槽中的蛋要及时勾出, 以免由于鸡的践踏而增加破损。捡蛋发现破损蛋时, 要及时将流在集蛋槽上的蛋液清除干净, 以免污染其他蛋。保持蛋盘或蛋箱的清洁干燥, 每次用过的蛋盘或蛋箱应清洗、消毒并晾干备用。用蛋箱捡蛋时箱底应铺上干燥清洁的垫料。捡出的蛋要按健康蛋、畸形蛋、脏蛋、破蛋分类码放。每天应统计蛋数和称蛋重。 (3) 防止应激反应 对产蛋鸡来讲, 保持环境稳定, 创造适宜的饲养条件至关重要。特别是轻型蛋鸡, 对环境变化非常敏感, 任何环境条件的突然变化, 如抓鸡、注射、断喙、换料、停水、光照制度改变、灯影晃动、新奇颜色、飞鸟窜入等, 都可以引起鸡群惊乱而发生应激反应。 (4) 防止啄癖 不仅笼养育成鸡容易发生啄癖, 笼养产蛋鸡的啄癖发病率也较高, 特别是在光照强度较大的情况下, 啄癖更易发生。开放式鸡舍靠鸡舍外周的鸡笼光线较强, 可采取适当的遮阴措施, 有助于降低啄癖发病率。 (5) 做好记录 为了统计计算经济效益, 随时掌握生产情况, 每天要对产蛋量、饲料消耗量、存活、死亡和淘汰鸡数以及定期称测的蛋重、体重等做好记录, 做到心中有数。
春季怎样维持蛋鸡高产稳产？	春季气温逐渐上升,日照时间逐渐加长,鸡体内代谢旺盛,性腺激素分泌机能增强,是鸡繁殖与产蛋的天然旺季。 在饲养上要求饲料量要充足,让鸡吃饱吃好,分次饲喂的可增加饲喂次数,每天喂料 $4 \sim 5$ 次,适当提高饲粮中营养物质含量,尤其是饲粮中粗蛋白质、维生素和矿物质的给量一般在实际产蛋量的基础上增加 $5\% \sim 10\%$ 在管理上注意保持舍内清洁卫生,因为春季天气暖和,利于各种微生物滋生繁殖,应加强对各种疫病的预防,最好在天气转暖之前进行一次彻底的消毒,并注意对饲喂、饮水用具的日常洗刷、消毒工作;在早春北方还比较寒冷,气温变化大,南方春雨连绵,湿度大,所以应注意通风换气,防止感冒;勤捡蛋,淘汰不产蛋鸡;如果饲养种鸡,应避免混群,保证品种的纯度,种公鸡按比例搭配,保持较高的受精率;一些母鸡在产蛋时期开始抱窝,要采取有效措施,促其逐渐醒抱,对抱性强的鸡予以淘汰。
养鸡为什么要供给砂砾？	鸡的胃分为腺胃和肌胃两部分,肌胃相当发达,在肌胃内部含有砂石。鸡在消化过程中,借助于肌胃的收缩,依靠砂石磨碎坚硬的食物,代替了家畜牙齿的咀嚼作用。鸡若失去砂石,进入胃内的坚硬食物就无法磨碎,因此消化能力就会下降。长期不喂砂石,肌胃软化,出现溃疡,严重时造成死亡,这就是喂砂石的主要原因。另外,砂石在鸡体内还有以下3种有利作用:一是增加了食物在肠道内的停留时间。鸡的消化道比较短,所喂的又是高能高蛋白质饲料,通过消化道时消化不完全,掺砂子后减缓了食物通过消化道的速度,增加了食物在肠道内的停留时间,使肠道上皮吸收更完全,从而提高营养物质的利用率;二是砂子可磨 薄肠壁,增加了营养物质的渗透力,从而提高了营养物质的吸收率;三是考虑到目前配合饲料中粗纤维很少,含较高能量和蛋白质,这对肌胃壁有一定的腐蚀性,在地面垫料饲养条件下,鸡会吞食垫料、羽毛,饲喂砂砾可减少肌胃腐蚀,帮助研碎吃下的异物,保护肠道少受损害。
鸡产薄壳蛋、软壳蛋怎么办？	鸡产薄壳蛋、软壳蛋的主要原因是:缺乏钙、维生素D等营养物质;处于不利环境;出现应激反应。所以应根据产生的原因分别采取相应的措施来防治。 (1)日粮中缺乏钙、维生素D等营养物质 钙是鸡体所需最多的矿物质元素,蛋鸡缺钙时则产蛋减少,蛋壳变薄,产软壳蛋甚至无壳蛋;维生素D参与钙、磷代谢,缺乏时会影响钙、磷的吸收,产生同样的结果。蛋鸡日粮中需钙量高达 $3\%$ 以上,这样高的钙如全用粉末的石灰石则影响鸡的采食量,一般在产蛋鸡日粮中只加入 $1.5\% \sim 2.5\%$ 的钙,其余部分用贝壳碎片等来补充,这样可提高蛋壳强度,降低破蛋率。开放式鸡含中通过鸡晒太阳能使鸡体内的7-脱氢胆固醇转化为维生素D,但密闭式鸡舍内就不能完成这种转化,必须从饲料中予以供应,产软壳蛋时,钙、维生素A、维生素D一起补,效果更好。 (2)处于不利环境 夏季鸡处在高温环境下,体热散发受阻,食欲减退,产蛋量减少,蛋壳变薄。所以应加强舍内通风,给鸡提供一个凉爽的环境来消除高温对鸡造成的影响(即应激反应)。 (3)出现其他应激反应 蛋鸡由于代谢旺盛,神经高度兴奋,所以对环境变化的反应十分敏感。任何环境条件的突然变化,如抓鸡、注射、断喙、换料、停水、光照制度改变、噪音等,都可引起鸡群惊乱而发生应激反应,表现为产蛋量下降,产软壳蛋等,这些表现常常需要数日才能恢复正常。所以保持良好 而稳定的环境条件,对产蛋鸡十分重要。防止应激反应除采取针对性措施外,应制定鸡舍管理程序,并严格付诸实施。饲养管理人员要固定,操作时动作要轻、稳,尽量减少进出鸡舍的次数,保持鸡舍环境安静。并注意鸡舍周围环境条件变化,减少突然发生的事故。
产蛋鸡为什么常见脱肛、啄肛现象?怎样防治？	脱肛就是母鸡的泄殖腔或输卵管外翻,脱垂在肛门外面,造成蛋鸡脱肛的原因是输卵管松弛、肌肉收缩无力和腹内压增加等。一般多见于产蛋多且大的高产母鸡;蛋鸡开产初期太肥时也易发生脱肛;严重的便秘或下痢、难产、肛门外伤等,使母鸡频频努责,也会诱发脱肛。 脱肛后在病鸡的肛门外突出一团发红肿胀的泄殖腔(有时泄殖腔破裂),严重时还脱出一段输卵管,引起其他母鸡群起而争啄患鸡的肛门及腹部,因而脱肛也易造成鸡群啄癖,患鸡也常因肛门被啄成空洞,拉出肠道而死亡。 防治时将患鸡单独饲养,在头 $3\sim 5$ 天减少饲料量,使母鸡停止产蛋,并除去诱发本病的其他原因。整复时,用 $2\%$ 温盐水或 $0.1\%$ 高锰酸钾溶液将脱出的组织洗净,除去表面的异物和皮,把母鸡倒提起来,轻送回脱出部分,严重时可作"烟包式"缝合,即用一根 $20\sim 30$ 厘米的胶皮筋作缝合线,在肛门左右两侧皮肤上各缝合两针,将缝合线拉紧打结,3天后拆线即可痊愈。
种用蛋鸡的饲养方式有哪些？	种鸡是指担负繁殖任务的公母鸡,所产的蛋用来孵化雏鸡。种鸡饲养方式有笼养、栅(网)上饲养和地面平养,由于饲养管理水平的提高,目前鸡场和养鸡专业户多不采用地面平养方式,下面仅介绍前两种。 (1)笼养种鸡笼养,多采用二阶梯式笼养,这样有利于人工授精技术的操作,而三阶梯式笼养种鸡,由于笼架比较高,不便于人工授精操作。种鸡笼养,采用人工授精配种,节省了大量公鸡,也相对节省了饲料,减少了大群饲养公鸡间的争配和啄斗,易于管理。 (2)栅(网)上饲养指在离地面一定高度处设置棚架,棚架既可用木条、竹条、小圆竹制成,又可用铁丝网制成,饲养种鸡的棚架一般离地 $60\sim 80$ 厘米。 对于成年种鸡来说,木条棚架用的木条宽 $2.5\sim 3$ 厘米,空隙宽2.5厘米,木条走向与鸡舍的长轴平行;竹条棚架用竹竿或竹片制成,其直径或宽度与空隙一般均为 $2\sim 2.5$ 厘米;网状床架多用8、10或12号镀锌铁丝搭配编制,网格的大小为 $2.5\sim 3$ 厘米。
如何满足种用蛋鸡的营养需要？	为尽可能多地获取受精率和孵化率都较高的合格种蛋,种鸡必须喂给营养全价的饲料,各种营养成分要足够,尤其是日粮中维生素、微量元素的供给要充分,一旦日粮中营养缺乏,就会引起种鸡发病,降低种蛋的受精率和孵化率。但有些微量元素含量过高,也会引起不良后果,出现中毒病状。在生产实践中,要考虑到饲料种类、鸡群状况及各种环境条件的影响,有时应加倍添加维生素。 种鸡日粮中蛋白质的含量不能太低,也不能太高,产蛋期一般掌握在 $16\% \sim 17\%$ ,应根据品种、年龄、体重、产蛋率和气候等具体条件来确定。若日粮中蛋白质含量过低,则产蛋率下降;若日粮中蛋白质含量过高,不但造成饲料浪费,而且还会产生尿酸盐沉积,引发鸡痛风病。 种用蛋鸡的营养需要与商品蛋鸡基本相同。罗曼褐父母代种鸡的营养需要见表3- 15。 ![](https://cdn-mineru.openxlab.org.cn/extract/5446c155-4f55-4eef-b9b2-cd40e853aa89/7097c87c27b0f2eb2927e0eded20f68ca4d61e43f022cf9e048d63bc7540c7be.jpg) <table><tr><td>周龄 所需营养</td><td>0～8周龄 (雏鸡)</td><td>9～20周龄 (育成鸡)</td><td>21～42周龄 (产蛋鸡)</td><td>42周龄以后 (产蛋鸡)</td></tr><tr><td>氯化胆碱(毫克)</td><td>400</td><td>300</td><td>500</td><td>500</td></tr><tr><td>锰(毫克)</td><td>100</td><td>100</td><td>100</td><td>100</td></tr><tr><td>锌(毫克)</td><td>60</td><td>60</td><td>60</td><td>60</td></tr><tr><td>铁(毫克)</td><td>25</td><td>25</td><td>25</td><td>25</td></tr><tr><td>铜(毫克)</td><td>5</td><td>5</td><td>5</td><td>5</td></tr><tr><td>钴(毫克)</td><td>0.1</td><td>0.1</td><td>0.1</td><td>0.1</td></tr><tr><td>碘(毫克)</td><td>0.5</td><td>0.5</td><td>0.5</td><td>0.5</td></tr><tr><td>硒(毫克)</td><td>0.2</td><td>0.2</td><td>0.2</td><td>0.2</td></tr></table> 注：表中饲料添加剂是每千克饲料中的含量。
蛋用型种公鸡的饲养管理有哪些要点？	种公鸡的饲养管理水平对其种用价值影响很大,尤其在配种季节,要注意加强种公鸡的营养,在人工授精条件下强制利用的种公鸡,若营养跟不上,则会影响射精量、精子浓度和活力。因此,日粮需要补充大量营养,尤其要注意供给足够的蛋白质、维生素A和维生素E,以便改善精液品质。 笼养人工授精的种公鸡,最好单笼饲养。因为两只以上的公鸡养在一个笼内,公鸡间有同性恋的现象出现,结果多半只有一只能采出精液,另一只采不到精液。 大群配种的鸡群在开始收集种蛋前一个月把公鸡放入母鸡群中,以便使鸡群尽快形成群序。在同一个种鸡场内,若有不同批次(间隙6个月至1年)的同品种(品系)种鸡,为充分发挥"大龄"种鸡的种用价值,可采用"老 $\times \uparrow$ 新"和"新 $\times \uparrow$ 老"的交叉配种方法,效果较为理想。青年公鸡初放入二年母鸡群中处于受欺地位,不能正常配种,要过几周后才能正常配种。强制换羽后的母鸡群中放入青年公鸡,受精率量高。要避免部分 地挪动或撤换公、母鸡,实在需要变动,只能在晚上进行。
如何提高种蛋合格率和受精率？	影响种蛋合格率和受精率的因素很多,有种鸡因素、饲养管理因素、配种因素、消毒防病投药因素等等。欲提高种蛋的合格率和受精率,需做好以下几项工作: (1)培育优良的种鸡种鸡群体的质量对种蛋合格率和受精率的提高十分重要,体重适度、体型匀称、体况良好的鸡群才能满足配种繁殖的需要。种公鸡体重过大,就会增加腿病和脚病的发病概率,配种能力降低,失去种用价值;种母鸡体重过大,则产蛋小,受精率和孵化率降低,耗料也多。因此,无论是育成鸡还是产蛋鸡,都要把公、母鸡体重控制在标准体重范围内,在育成期采取公母分饲,并将后备公鸡日粮所需的蛋白质含量增加 $1\% \sim 2\%$ ,视体重状况给料,提高公鸡群和母鸡群的均匀度。育成期满选择优秀公鸡留作种用。 (2)协调好鸡群公母鸡比例大群配种的鸡群,公母鸡的比例大小与种蛋受精率和公鸡伤残有关。若公母比例过大,那么就有部分母鸡得不到公鸡配种;反之,若公母比例过小,公鸡之间就会因争配母鸡而相互啄斗,造成伤残而影响配种。因此,在生产中必须保持公母鸡比例适宜。如果鸡群中的公鸡死亡和病弱公鸡被淘汰,使公母比例增大,应及时补充新公鸡。国内外一些种鸡场常采用更换公鸡的办法来提高种鸡群产蛋后期的受精率。一般在 $44 \sim 50$ 周龄之间,将鸡群中发育不良、有病或有外伤的老龄公鸡选出一部分淘汰,然后投放一些新的公鸡( $24 \sim 26$ 周龄)。为防止鸡群排斥新的公鸡,通常在夜间将公鸡放入鸡群中,同时新投入的种公鸡必须体况良好,健康无病,具有理想的雄性特征和配种能力,与老龄公鸡为同一品种、同一代次。 (3)配备足够的产蛋箱种鸡平养时要配备足够数量的产蛋箱,箱内要垫 $1 / 3$ 干净的垫料,及时补充、更换,以减少破蛋和 脏蛋的数量。 (4) 适当进行补钙和光照 在种鸡产蛋中后期, 每周要补充 $1 \sim 2$ 次颗粒状贝壳粉, 下午补喂效果更佳。要正确使用人工光照。公鸡每天的光照时间 $12 \sim 14$ 小时, 可产生优质精液, 光照强度 10 勒克斯即可; 母鸡的光照按规定程序给予。有条件的鸡场可采取公、母鸡分栋饲养, 各自给光。 (5) 加强疾病防治工作 要严把四道关口: 一是加强进场人员的消毒, 如职工进入生产区必须洗澡更衣, 进场时要脚踏消毒池; 二是每栋鸡舍前设一消毒池, 禁止饲养员乱串鸡舍; 三是定期带鸡消毒, 如使用"百毒杀"定期喷雾, 饮水中添加消毒药物等; 四是实行免疫程序化, 确保鸡群的健康。 (6) 搞好人工授精 笼养种鸡采用人工授精方式配种, 既充分发挥了优良种公鸡的配种潜力, 降低了种公鸡的饲养成本, 又提高了种蛋的受精率。 (7) 做好其他管理工作 饲养人员喂食、换水、清扫、捡蛋动作要轻, 防止惊群。公鸡的内趾及后趾第一关节要断去, 以免抓伤母鸡或抓伤授精人员。
如何收留和管理种蛋？	按种蛋标准, 蛋重必须在 50 克以上才能用于孵化, 现代鸡种一般要到 $24 \sim 28$ 周龄才开始收留种蛋, 以保证种蛋合格率、孵化率和健雏率高。不同品种、不同代次的种鸡, 开始收留种蛋的时间略有差异。笼养种鸡每天应捡蛋 $5 \sim 6$ 次, 平养种鸡每天应捡蛋 $4 \sim 5$ 次, 以减少脏蛋和破蛋, 防止细菌污染。捡蛋的次数多, 种蛋破损率低, 清洁卫生, 细菌污染的机会相对减少。种鸡场应最大限度地减少过夜蛋, 缩短种鸡在产蛋箱或蛋槽内的停留时间。捡蛋时注意轻拿轻放, 钝端向上。捡出的种蛋经过初步挑选后, 即送入种蛋库进行消毒保存, 最好使蛋库保持恒温恒湿, 在 4 天内送入孵化车间孵化, 存蛋时间一般不要超过 7 天, 以免影响孵化率。
怎样进行种鸡群的检疫和净化？	种鸡群对疫病防治的要求比商品鸡群要严格得多,应谢绝外人参观,场内非饲养人员无必要时也不要进入鸡舍,以防疫病的传入。 种鸡场要对一些可以通过种蛋垂直感染的疾病,如鸡白痢病、霉形体病、大肠杆菌病、脑脊髓炎等进行定期检测。把检出的阳性个体严格淘汰,确认阴性个体才能留种,以求净化。目前,凡种鸡场都应进行鸡白痢净化工作,因为鸡白痢病在国内各级鸡场内均普遍存在,只不过是感染的程度不同而已。白痢病既影响育雏成活率,又影响成年母鸡的产蛋率。在净化该病时,还应推广无鱼粉日粮饲喂种鸡,因为监测发现鱼粉中含有沙门氏菌。只有持之以恒地开展检疫工作,鸡群净化才能见成效。当然,引种鸡场如果卫生防疫工作做得差,即使鸡种来自于疫病净化工作做得好的种鸡场,鸡群也可能再度感染。
肉用仔鸡的饲养方式有哪几种？	(1)地面平养是过去饲养肉用仔鸡较普遍的一种方式,适用于小规模养鸡的农户。方法:首先在鸡舍地面上铺设一层4~10厘米厚的垫料,要注意垫料不宜过厚,以免妨碍鸡的活动甚至使小鸡被垫料覆盖而发生意外。随着鸡日龄的增加,垫料被踩踏,厚度降低,粪便增多,应不断地添加新垫料,一般在雏鸡2~3周龄后,每隔3~5天添加一次,使垫料厚度达到15~20厘米。垫料太薄,养鸡效果不佳,因垫料少粪便多,鸡舍易潮湿,氨气浓度会超标,这将影响肉用仔鸡的生长发育,并易暴发疾病,甚至造成大批死亡。同时,潮湿而较薄的垫料还容易造成肉用仔鸡胸骨囊肿。因此,要注意随时补充新垫料,对因粪便多而结块的垫料,及时用耙子翻松,以防止板结。要特别注意防止 垫料潮湿,首先在地面结构上应有防水层,其次对饮水器应加强管理,杜绝漏水现象和鸡饮水时弄湿垫料。常用于作垫料的原料有木屑、谷壳、甘蔗渣、干杂草、稻草等。总之,垫料应吸水性强,干燥清洁,无毒无刺激,无发霉等等。每当一批肉用仔鸡全部出栏后,应将垫料彻底清除更换。 (2)网上平养所谓网上平养,即在离地面约60厘米高处搭设网架(可用金属、竹木等材料搭架),架上再铺设金属、塑料或竹木制成的网、栅片,鸡群在网、栅片上活动,鸡粪通过网眼或栅条间隙落到地面,堆积一个饲养期,在鸡群出栏后一次清除。网眼或栅缝的大小以鸡爪不能进入而又能落下鸡粪为宜。采用金属、塑料网的网眼形状有圆形、三角形、六角形、棱形等(塑料网的网眼多为六角形),常用的规格一般为1.25厘米×1.25厘米。网床大小可根据鸡舍面积灵活掌握,但应留足够的过道,以便操作。网上平养一般都采用手工操作,有条件的可配备自动供水、给料、清粪等机械设备。该种饲养方式是目前肉用仔鸡饲养的主要方式。 (3)笼养肉用仔鸡笼养20世纪70年代初在欧洲就已出现,但不普遍,主要原因是残次品多和生长速度不及平养。近年来改进了笼底材料及摸索出了适合笼养特点的饲养管理技术,肉用仔鸡笼养又有了新的发展。目前,我国广大养鸡户越来越广泛地采用笼养肉用仔鸡,力求在有限的鸡舍面积上饲养更多的肉用仔鸡。 (4)笼养与地面平养相结合这种饲养方式的应用,我国各地多是在育雏期(出壳至28日龄)实行笼养,育肥期(5~8周龄)转到地面平养或网上平养。 育雏期舍温要求较高,此阶段采用多层笼育雏,占地面积小,房舍利用率高,环境温度比较容易控制,也能节省能源。 在28日龄以后,将笼子里的肉用仔鸡转移到地面上平养,地面上铺设10~15厘米厚的垫料。此阶段虽然鸡的体重迅速增长,但在松软的垫料上饲养,也不会发生胸部和腿部疾病。所 以,笼养与平养相结合的方式兼备两种饲养方式的优点,对小批量饲养肉用仔鸡具有推广价值。
饲养肉用仔鸡实行"全进全出制"有什么好处？	现代肉用仔鸡生产无论是地面平养,还是网上饲养或笼养,均普遍采用"全进全出"的饲养制度。所谓"全进全出制"是指在同一栋鸡舍同时间内只饲养同一日龄的雏鸡,经过一个饲养期后,又在同一天(或大致相同的时间内)全部出栏。 这种饲养制度的优点是:在饲养期内环境条件(温度、湿度、光照等)便于控制,有利于机械化作业,劳动效率高;可灵活进行日粮调整,能提高鸡群的相对增重率,并可降低饲料消耗;便于管理技术和防疫措施等的统一化,也有利于对新技术的实施;第一批出售、下批尚未进雏的 $1\sim 2$ 周的休整期内,鸡舍内的设备和用具可进行彻底打扫、清洗、消毒与维修,这样能有效地消灭舍内的病原体,切断病源的循环感染,使鸡群疫病减少,死亡率降低,同时也提高了鸡舍的利用率。 当然,实行"全进全出制"需要制订一个全年生产与周转计划,拥有相当规模的种鸡和孵化厂,或有充足的雏鸡来源,方能满足鸡舍一次入雏的大批数量要求。同时也必须具有相应的饲养设备与管理技术水平,才能取得预期效果。
怎样控制肉用仔鸡舍内的环境条件？	肉用仔鸡生产的特点是:在高饲养密度、饲喂高能高蛋白日粮条件下实现肉用仔鸡快速生长,但是必须在充分满足某环境条件下,才能使肉用仔鸡的生产力得以充分实现。影响肉用仔鸡生长的环境条件有温度、湿度、通风换气、饲养密度、光照和卫生等。 (1)温度 肉用仔鸡舍内的适宜温度,第一周为 $35\sim 33^{\circ}C$ 第二周为 $32\sim 29^{\circ}C$ ,第三周为 $29\sim 26^{\circ}C$ ,第四周为 $26\sim 23^{\circ}C$ 从第五周起, 鸡舍内的环境温度应保持在 $20 \sim 23^{\circ} \mathrm{C}$ 。肉用仔鸡在上述的适宜温度环境中, 能获得较高的成活率、增重速度和饲料报酬。如果鸡舍内温度不正常, 使肉用仔鸡处于高温或低温环境中, 就会降低其生产效率。因此, 在肉用仔鸡的整个饲养期内都要注意对鸡舍内温度的控制。控制方法可在舍内适当位置放置温度计进行观测, 并采取一定措施进行降温或升温调节。如在炎热的季节或地区, 鸡舍内气温较高时, 可加大舍内通风量, 打开门、窗及通气孔, 开启风扇或排风机, 使舍内温度降下来, 必要时还可用冷水喷洒地面或屋顶喷雾的措施进行降温。在寒冷季节, 应加强鸡舍保温取暖工作, 关闭门窗或用塑料薄膜覆盖, 但同时要考虑适当的通风换气。在舍内用火炉、烟道、暖气或红外线等取暖。另外, 在建造鸡舍时, 屋顶、墙壁要用隔热保温性能好的材料, 这对鸡舍的防寒和防暑都非常重要。 (2) 湿度 肉用仔鸡对湿度的要求与蛋用型鸡基本相同, 理想的相对湿度为 $60 \% \sim 65 \%$ 。其控制方法是在鸡舍内放置湿度计进行观测, 在育雏初期舍内过于干燥时, 可适当用水喷洒地面过道或四周墙壁, 也可在热源上放水盆蒸发水汽, 以增加舍内湿度。随着肉用仔鸡日龄增加, 采食量、饮水量、呼吸量及排泄量与日俱增, 舍内温度又逐渐下降, 特别是在盛夏和梅雨季节, 很容易发生湿度过大的情况。因此, 对鸡舍湿度的控制, 最重要的是防潮问题。常用于鸡舍防潮的措施主要有: 及时清除舍内潮湿的粪便和垫料, 增加舍内的通风换气量, 在鸡舍地面铺设防潮层, 避免饮水系统漏水现象等等。 (3) 密度 饲养密度直接关系到肉用仔鸡的生长发育、成活率和经济效益。饲养密度小, 虽然对肉用仔鸡的生长发育有利, 但不能充分挖掘鸡舍、设备和人员的生产潜力, 增加了取暖费用, 降低了养鸡的经济效益; 饲养密度过大, 使肉用仔鸡活动受限, 生长发育缓慢, 羽毛生长不良, 也使鸡舍内空气污浊, 湿度增大, 易诱发啄羽、啄肛等恶癖, 宰后屠体等级下降, 饲料转化 率、肉用仔鸡出栏成活率低。肉用仔鸡合理的饲养密度与鸡舍类型、饲养方式、垫料质量、季节、日龄和出栏活重等因素有关。采用地面厚垫料平养时,因食槽、水槽占用地面,且污染性较大,饲养密度宜低些。一般 $1 \sim 2$ 周龄肉用仔鸡,每平方米地面宜养 $25 \sim 40$ 只, $3 \sim 4$ 周龄宜养 $15 \sim 25$ 只, $5 \sim 8$ 周龄宜养 $10 \sim 15$ 只。另外,还应与肉仔鸡出栏活重结合起来考虑,如出栏活重在 $1.3$ 千克以下,则后期饲养密度应为 $18 \sim 20$ 只/米²;出栏活重 $1.3 \sim 1.7$ 千克,饲养密度应为 $15 \sim 18$ 只/米²;出栏活重 $1.7 \sim 1.9$ 千克,饲养密度为 $13 \sim 15$ 只/米²;出栏活重 $1.9 \sim 2.3$ 千克,饲养密度为 $10 \sim 12$ 只/米²。如采用阀上平养或笼养时,鸡和粪便分离,污染性小,食槽、水槽可挂于笼外,饲养密度可以高一些。一般网上平养后期的饲养密度宜为每平方米网面 $18 \sim 20$ 只,笼养后期的饲养密度可为每平方米笼底面积 $20 \sim 25$ 只。此外,根据季节等环境的变化,饲养密度也随之改变,如冬季饲养密度可以大一些,而夏季饲养密度应小一些,通风条件不好的,饲养密度应小一些。 (4)光照 肉用仔鸡与蛋用雏鸡的光照制度完全不同。对蛋用雏鸡光照的主要目的是控制性成熟的时间,而对肉用仔鸡光照的目的是延长采食时间,促进生长。一般肉用仔鸡舍多采用24小时光照,也有的鸡场雏鸡3日龄前采用24小时光照,4日龄以后采用23小时光照,1小时黑暗,这样能使鸡有一个适应黑暗的习惯,以免碰到停电时而惊群。 由于肉用仔鸡需要的光照时间较长,因而除自然光照外还要补给人工光照。在采用人工光照时,一定要注意光照度。在3日龄前,为了让雏鸡熟悉料槽、水槽位置和舍内环境,可采用较强的光照,每平方米地面用电灯 $4 \sim 5$ 瓦。其余时间均以弱光照有利,每平方米地面用电灯1瓦左右,一般 $20 \sim 30$ 平方米的鸡舍有一个 $25 \sim 40$ 瓦电灯泡悬挂于2米高处即可,这样有些弱雏在吃不饱时,可以继续采食,而鸡群仍然可以照常睡眠。此外,夜 间给光还能有效地防止兽害,又不会引起惊群。 (5)通风换气 肉用仔鸡一般采用高密度饲养,生长速度快,代谢旺盛,吃食多,排便多,特别是采用地面厚垫料饲养,易产生不良气体。如果鸡舍通风换气不良,往往使舍内温度过大,有害气体增加,造成肉用仔鸡增重减缓,饲料利用率降低,胸部囊肿发病率增加,屠体等级下降,死亡率提高,因此,饲养肉用仔鸡必须加强鸡舍的通风换气,保持鸡舍垫料干燥,空气新鲜,使舍内相对湿度低于 $70\%$ ,有害气体氨、硫化氢和二氧化碳的含量分别低于20毫克/千克、10毫克/千克和 $0.5\%$ 。 鸡舍通风方式有自然通风和机械通风两种。自然通风是靠风力或温差作用达到通风目的,机械通风是利用通风机械强制将新鲜空气与舍内气体进行交换。鸡舍通风量一般应根据舍内温度、湿度和有害气体浓度等因素综合确定,在大型现代化鸡场,鸡舍安装通风控制设备。但目前多数养鸡户还没有这种设备,可根据自己的嗅觉和感觉来掌握舍内通风量。如进舍时嗅到氨味较浓,有轻微刺眼或流泪时,此时氨气浓度已超过允许范围,应马上采取通风措施,如加大通风量或更换垫草等。在通风换气时,要考虑保温和通风的关系,通风时改变了舍内温度,通风完毕后,恢复到通风前的舍内温度。采用火炉取暖时,一定要防止火炉倒烟,以免发生煤气中毒。如果有倒烟,应根据具体情况适当通风。
